"⛓️🪂 Digital Methods for Blockchain Research I Project report: https://www.digitalmethods.net/Dmi/SummerSchool2024DM4BlockchainResearch 

Team Members: Janna Joceli Omena, Johnnatan Messias, Alberto Cossu, Fabio Gouveia, Augusto Falcão, Riccardo Ventura, Andrea Benedetti, Minye Huang, Linqi Ye",,,,
PARADOTOR,Tek resmî kanaldır. Başka kanallara itibar etmeyiniz.https://youtube.com/c/EnesTurann,62699,https://t.me/s/paradotor_1,https://cdn4.telegram-cdn.org/file/KVLgK4KMcZKQreiITMYA6oKM-5aeg33ZIVQVtbcyLsySC56zKiW6U7JXdkLHi7C2hTr25OcMmOoNl4BAjpbg8yCty3Na-VU7NaRiOjE8cxa66JUapnp5UoIcMu_TlNxkPKwc8hvKzii7Et6CTKQvy9Ka_iC0kc3gs6yAuwv6yWizrFR-NHkPqPWb26TrafBUhE0qyoNYcYblz_ifhKyTj8FOXJHDQa7Tp3z62AS7g901oDbtGdOMjmI73WCm7JIYD2drzVAtUrUAU1L5bmk54D-EXeoW-5vx4W9kkn4XDYSRiHMEoooC1VWsUr_LPG8HN_uidAOZY4iX_Ou1vwmQ6g.jpg
JrKripto Presale,E-Mail: info@jrkripto.comİnfo Telegram: @iamJrKriptoChat Community: https://t.me/JrKriptoChat,61142,https://t.me/s/jrkriptopresale,https://cdn4.telegram-cdn.org/file/OLjmTZcjhQfAiUJco8L9T5rEYWkNetlK3g1KbcJaVo2BRuNrX0dVXl_DFp5iydSqOL6ew2fF2CXo_e8DNpOBZ0ojuxq1VIrE3ZlIIsqCNzqdvAVo8bPDI-IZIYniEcAtm8DVfwo6shawq5JvZl4t02bpOgoziNkgEY3qM4i0NnSNLFJ_cU-0gRSJig90-3Seeff1N6wjr1wOHIg5VjS51soKw3qSw00N_i_QA6abdufiCmFa8tlafTd3rf0iuODshSIT1b6N52qAUsdAPxrDIN66MkqWx7iVAaHGXJwKtNSY18V8grWdppRSFc-jM5V17kggUJ8uht184oBdllbDLA.jpg
Tabraiz Shams,Join My Youtube Channel👇https://youtube.com/channel/UCXeKfW6fBueWPppcMnIUangJoin Discussion Group👇https://t.me/shams_tabraiz2nd Channel 👇👇https://youtube.com/channel/UCIAgWqVHbpUQgtQlpO7d8Zg,45725,https://t.me/s/shamstabraiz,https://cdn4.telegram-cdn.org/file/W1LcE1UAhviqONLuqsyT-1cJWg7jjqMSDXhYcYFsCVjk_Khqi802mmZNYpEnDbNmY5RMGw6rAOubmnelCRmRXWmMDF-r8ZsvbQa6YJcLovRCGWnDdku7oNJPKja8sJVfPJZmkXXEwPBbs2_nNO2lXV_BFN76dY6r0YMeFR1wbRmht5MLi01oiMx88e9yhu7N3Os7ZuwXr0LtBZVbi8_GNSsYHN22fbGuDOq-IW6-SVKvFxG_hPyMg8SZiudoIHjMYDe-pvK1_5gPhZw67ePSW33Vxwt33Rmx76yaZp_O8D2_FjaT5i-TihTDbQTpcn5bsJn-G9J2_gQsCMVvwSPxSA.jpg
Whitelist,По всем вопросам @bogdanwhitelistЧат @whitelistchat | Twitter https://x.com/whitelist1media,44837,https://t.me/s/whitelist1,https://cdn4.telegram-cdn.org/file/jcG0hcIjuTwki0CDEgtsiYiMp_UvpgOZlgvbE7cVbp-IV7EDcpay5PRqgK56cDOGttVhaaoSkZtONTEIa0UgIEUApkN3ar7ZFLQf4yNabSZaArO3WQCzWsukw9lhYuwj8Qa-5toacBBxocHepwNH96h0XnXUaSlQ-fmBvME7B0dtpoEZtcMu2AWGweNSCQGYwIeSZ6WHp-URDnYoILWR1qDcA-8EYkexv2iYO7i0kH-Oyt048i-U-E8VNcBoeIxtG5LKaPNjoUMwWmvlKbBSj7Vsm1NobbmGKdFhCbjueAgFfFvNT-CSGQK8-pOVppOjOhbO1UoNNqX7GAmwG6hOzA.jpg
PROFIT MAFIA,Только важная информация из мира криптовалют и крутые аирдропы. Подписывайся на YouTube канал https://www.youtube.com/AntonProfiT Наш новостной канал - https://t.me/ProfitCryptoNewsПо рекламе - @Anton_ProfiT,44733,https://t.me/s/profit_mafia,https://cdn4.telegram-cdn.org/file/eVXU6UR4Jbjy8CUBxdRM9WQIbxAaXoSGgyXmL2MhfqxmhDQF_KpG8BfXcQy9RQOU57OPv7Wxg4hOGcZpTJ4N3ResJe5DaxxDPkAGkZeKrWleqTKIrXC5MUyhT3h7x4_l2-6_3IroxyncnJWc2XJthvoiJOjidkokRDiav4F-gjfJGTacCoBySRZZKDd75Jpf5aMPv2Ye3XQ2EZvmnwSQG-Of888Wn4JKOQLoZaWT80TcsIfEM7ZPcIlrmYxXBYS50MyLO-R9BeZt1Cj6Tyhta3LNWopbFsjIPIkLSquq9KsQOCLTTrAf-B2KmFz9Mwxu-wXRjcoTu7bVVCuCGsA1_w.jpg
Airdrop Checked,📣 Welcome to Daily Airdrop Checked 🚀🎯 We are partners with #Airdrop #Channel🎯 ONLY share Airdrop Checked and Verified🎯 Stay on Channel & Withdraw FREE Money💰📲 @ijoinairdrop | Marketing @Miihodl,38087,https://t.me/s/dailyairdropchecked/1838,https://cdn5.telegram-cdn.org/file/g5oTRlfF2VVrD9Wf_hGafB-4B-YhOQW3TjLUH6CXnZ_LD0OqUy1Bmg4ipWBZcLuaXpTDo7SxLRWkfRHiwJtGN9_FDQqNv8zz9UJ7gLPO5h6wP5BuzmeGzFKCmSX7hHeWtp5bnVWN8kER-7-_jEwj4lxXKUJN5lhq0h1eRE5hnzuax6jt_kIbv7kRnJL75_AOLV2RxWig2t3mSCekK1WLKC--I4f6eqFULt_pDwNMygic7Ql2I7Uxpz6KRLqYcVwEwZK9aMbL_XWvBJlnCNYKliK_e9-v2BQZJNgGSAoJSup4uEWV1n_PEhmO8lFvfchytWQ7sjheTplx9ieySoMx4A.jpg
『HypoDrop』,"Advertising Platform and Community based DaoPioneer alpha community with Supporting Early #NFT, #Web3 ProjectsTwitter: https://twitter.com/HypodropYouTube: https://www.youtube.com/@hypodropDiscord: https://discord.gg/hypodrop",31462,https://t.me/s/hypodrop,https://cdn4.telegram-cdn.org/file/sQ4UPMKcAfhsd2qQwieoPZAjjnJD1vEnUAk9mOCD9Gevi4FAcTmQXwJc87Ef4GjeyLCR1OhT5YQexTvtV_evmgMtkoilJkjvDOuERMoY_XfMGwDiIsmmIgB1EkwMKY1A_FyWhZUwueKE70Ovq7ttkARXb9nun1ipR2X0T-jPd_89q2Mp6KxEjvlq55pNCIcUlIIxZtZ7qyVLbiM2WcjpUXxk7yMfBS8Y-bBKImzt3d5JminH-UrsmRRz_ShsLvJc_EPntOtyHP5e2V94QEXgFrbE2XongUo5NBNTFjrIVepO9U-pKgfbVWDL4X5FdXcVi_2qZT1Ly4GGNovthjiQ9A.jpg
Genuine Airdrops,"🙏🏻 Welcome To GA Crypto Channel, 📍NOTE: There is no another Channel apart from this, (Be aware to SCAM)✅ Promotion genuine crypto Events✅ Partner with us and get Free listingBusiness Contact: genuineairdropsc@gmail.com",26839,https://telegram.me/s/gnairdrop,https://cdn5.telesco.pe/file/FOzfJ-VsKXokIqj9xnHSefv735PlC8R5PlRFzruTrMJ2dndr7Z-Rhb5PccbSA6MI8AgZ22wNUxp1JF28ij-ZUlbJJBWSvvEcU3GFg21b2zBSDOCo_AEF_3hYXZu2TfIdTL0IDb3a9yOPDNpDB_YC8EFhv9GaNr7b5XFeK58lg2IFOpMmyiydt_m5II6jCh92XSu6YnJrZwoXtu3SjzEPhFDwZb2iMr6OXr8bGaXq8s6qewIifvVtpMAaQJ08VPnUykyCOlgJCvJZZ_Y5nyjBPRwsGyRttCfNcWoek2dEVZbtmSr9kqH-2-H9K2tBpSl3XYOsD7kur_2V_-rgnajsFQ.jpg
TOP 7 ICO | #StandWithUkraine🇺🇦,"Top Crypto Projects, IEO, ICO, IDO, DeFi, NFT News and AnalyticsOfficial Chat: @top7ico_chat Twitter: twitter.com/top7ico Сontact: @top7danWe are from Ukraine 🇺🇦",26522,https://t.me/s/top7ico,https://cdn4.telegram-cdn.org/file/q-sn9EHnD4x2uRgJ84aRBRrnmqDSiTTO-3k1fFxbJ4M6S94-lUZR_NZcxh8ea47LVrx4rOAefRR-7Uhhl6hle9QWELKq1NPpyclNBmVCy_OK8DdJe_NdezbOIOlCQi4QWnSEljw862nGMjW7ZwD-AMLWrzeVTJbaQcnj9HMpaD7GrLiNfHl4cQBwHvKQWE29-0J8LGj_56wGWCV0qJwVLCRd2DVQ0sNL7njLQ13q1MgHSYvXnpwpnj66hpOb6SPVzFwVT_nqX1iSLie5UmAmbD3e9nQApFE4PHrUgIRTKKSyoiDMjKspKK1ReNdeL4WCBO28tXhUOue6ZIfslcegcA.jpg
Coin Mühendisi (Duyuru),@coinmuhendisi Duyuru Kanalıİnstagram = @coinmuhendisi Twitter = https://twitter.com/coinmuhendisimWebsitemiz = https://coinmuhendisi.comKripto Para Analiz grubu: @coinmuhendisianalizKanaldaki hiç bir paylaşım yatırım tavsiyesi değildir. @mertoss,25488,https://t.me/s/coinmuhendisiduyuru,https://cdn4.telegram-cdn.org/file/Ww2PugORgI8A34eGXt286qP0TCs4XX9UcOw6v1BjplO5L3M4AkU8blIpYggML2lpb1l0cyWHsaVhTq9dXO5ygPHzStdFQBiOs4facu5elWKGVQq4dvWlP3YtIl-TEfOaqbTo0Va_Uc5EMGTkKasHsb33rOgrpSwzM5lMcls6MdEit3oY4U849JsclTDp56_15rLbN16q3E6JQyNH4Tzo0_2PjaFSWiit_LQMu8Ee2Jt-AHiZmoWA2z4iCMn689tdYhLG4qKtdUwIZLIhbAT4knIaZ7J_Rf6jSw1aLRx4TF3aqJxYRUh30RAc1KgN-aeSMXWYFcUmzqYXmLfZX8nJVg.jpg
Channel Gem Insights,"💎 Best insights into Crypto, Gem, Airdrop | 2,000,000+ usersGem InsightsChat @kienthucfarmGiveaway https://x.com/GEMinsightsTradeCoinVNSignal @margintradingTCVNChat @vietnamtradecoinNews @vietnamtradecoinchannelContact for work: 💬 @HienTCVN",23195,https://t.me/s/kienthucfarming,https://cdn5.telegram-cdn.org/file/CB3HqoL5UcXgswvN60SCe0v7w6fDb-OxG18wwI1FO03i5lcI3-n9UkeoSdv5eNN2_9JAfUmc2o80IOCPwH1OkaJU0WoDxR-ONUbYh4ZUn75m_bUz_GkbkJ86p8lRgj_GQg6W-KtG45KnbXCcRDVv9ZuyJJK0XXVC2GnDcxGV__bjCzqiIC96UpoFDxxQ5yctyS8JGuv82hL0ULXZZq9n22eDLfW4-Op7V2SWjihDH-6ZZOVkv0MbyxXNXagzMM2fbIGeHoONK-YVKJ8M8ubEL8dKT53YGTR5iQFtJkqW_EqxDf3o6BKUitrxTzlvaAgcmmLWms2bKLgUGGl0SpUU8Q.jpg
Crypto Tamizha ™,Welcome to Crypto Tamizha Telegram ChannelMessage Crypto Tamizha on Instagram. https://instagram.com/cryptotamizha( Sponsors )cryptotamizhaofficial@gmail.com,22431,https://t.me/s/cryptotamizhaofficial,https://cdn5.telegram-cdn.org/file/Hk5wp0Gzc-g1G2LnoFGTgtyRDQN-MfsoEGlxTl5qpbKtt4xy4DLi5NuNEX6yNLWJ6dmlNt8Z4aH789XPPAYNT_koXcuTBHQXv4He8Epwb4ZS0x3y2DPZUCv3sUg0ayI8DqrZbVgoDFHFtH0Ip_10F5EfY5IDFGreV7Y9dBHpXFM3RCVi2BZXcTSEORAHsFPt0sOTWDCcs5lHFg0V2ADcsyBzz4B5RGSPUUiw5t-AIzU9gcuvFgo7ATCo6qoOqSld2IzRX5-SOfXyphtlIAUCus5gboPAKyhz3X3d-YBJ1YX2u4ZB6dvOEm2szmgaLuKPg1XP6yynE9gPcLN8gYS8dA.jpg
AirdropAlert_com,Airdropalert.com is the first airdrop aggregator since June 2017! Join us for daily updates on legitimate airdrops! For promotion visit airdropalert.com/airdropsubmitOnly sales through official website!,22322,https://t.me/s/officialairdropalert,https://cdn4.telegram-cdn.org/file/nPqZamubnGME2NnjcCNFNy5Fv3826D4ZAT3iRZp2ok0Z-FqlOJUkwdlKsM0g6GOGr8YAQidfZZunLTrJoP8HwBlE3Xp7jCn2hF1LEQRyVto72CYDVs4JLLYuInZOo9IcMnKJ-h4qeLdxZ35H_tjFzA9OLMeh4OOpEQzc6cdHYT2JtF131AbtfVD3b0glB5snyS3U4bx-p_wYdAH4buJgnX_4v4Ue8l7qV9Telen0P6VGUlhblBKVNqxW8mfzXuwzrej9rM71j3gbA0q2okr9hpPb9CIYBm5vEvQoIw9nA6XR1JWkaDIZp3eNk8q8kq-LDb0tec1UlHc6e74V6GGoTA.jpg
Airdrop Mühendisi,Türkiye'nin en büyük ve kaliteli Airdrop Kanalı!Chat: @airdropmuhendisisohbethttps://twitter.com/airdropmuhendis@coinmuhendisi kuruluşudur.,18677,https://t.me/s/airdropmuhendisim,https://cdn4.telegram-cdn.org/file/JGNtw2ixemhC31zcFdAxKeo-MyNXQXokv31JWj7I2dvLGjlLoV1iJ7k6HAn6crwnrrwR3OHQRnWHEA5CW8KbZ_KBAnK2eaDrP6Gryo6-jZZcx1wSfEP1Bj5GNet0xNo8oiRbRz2wsCo8zIq1p-pwmO6oB1_trBET3qFuGtHnJqsuXJtLadlnkTC6YYWP_aRs0N4Ek4fHNOPSIfnzvR2_JWUAM9q1pTdpSfz4AbNcFttYWsvD20AZswtpWl0Rx5-Fy1j4aQvCUTMYyJ3MY3Adc-T0sBS4Po0CIpFB6r4qPClEb_lOWzdjh71mQGM_0-HG72c3KCUjvxD6xj2MuE-7kw.jpg
ardizor alpha 🧙‍♂️,https://twitter.com/ardizor,18075,https://t.me/s/ardizor_alpha,https://cdn4.telegram-cdn.org/file/MENJYx3NuBlRrSB7ZlUMCzB_wsySG72iTeVY3hR7SZe3QAV_eWvqEt9jPDfc1oWQcl0HJmMwM2MzQLsyweeQVGuOQ_CPV6VGK4bKHPbskl0zAphCxRMLk5jQpeb-4uIlXebMYdDaDpD---GfpqdenMflDyd8wbKEc_9Xaw_GnlhPPjsvVyZa-J0mF9YWFHrnUdiqZzmcYz6VzVhYwPjNBdRtHjEy6hMspCiS23RIM7B9dXm8bark5ZTQiQ6uUwwrO51_yKo2XmZzdhzenZmwTVhHTl0wEK7Wa4fJ21_7uzPOVFtQxhVc5uGHz0GabbIfxac_c86ydcGRDmqyis8H_Q.jpg
Airdrop Adventure 🧭,Hub of Genuine Crypto Airdrops 🪂,15324,https://t.me/s/airdropadventureyt,https://cdn5.telegram-cdn.org/file/EtfUFcV6JOi6xgxxrKV2PIHZ8owkU4CdHnEnuzRhoJm_nOlML1xlHld1vm1slUoCX1qbwiflV2g-YaPH_uioEPc0A3shoouDagjpZNZ7GB8dczf4jtqoSasso4Wo4E5HTCXFhjNn7fC06MlTijnmRktNAszSidBSkGnPhKn9VyF6pBULPnRbDIOOsySNGpA5fCAUOIM-DL-JhTf7N_d_9yfDxmJNR5eCBd2_U3baiwapC9jMPMnsFfCpLeyvKUWGDeuilHArqyXDt0A_fbLDTETRMntjq5B52tRG-njDylaOeKtoSKHrxZ5GCgIB8Rg2m_1uoKeaCvpTCMeDwT5pzw.jpg
ilmeaalim official,Learn Crypto = Earn Crypto,15116,https://t.me/s/ilmeaalimofficial,https://cdn4.telegram-cdn.org/file/qO6dsQRn_QyhzjLkFeKL7UwDiQxgAjUrLxFxcs7AeEhgI88_GtPixCmuRBi-FYed_1lbDYeBv91hZz0OjRrQDpqsC8PBvyfuxf9QUfo__Qsnjbmm5nAGgJuxONJgPJNpUwy0wEe02fc53e724MSrE_JjgQXXqfkP7E9bnySUt6C59bDoQqaWA5b6pc2UDm3_gCp5d2cUbyvFMcocPoe2i6ZVF-_0mWJYxqoLhON2SWa5Ent1ZNiYU4bb-euzeMmYEfjuEWP4KCt-zHmf8qRiCsjG6GkOyVfetCaa9KsezAaso8jD0u-3K6rAT8gw40DL7z6sDAUsYfFDwOaUG93dMA.jpg
The Bitcoin,This channel is for you.  Recover Your losses and earn daily huge profits with 90%+ accuracy and first of all stay in channel and check our accuracy and signals then you can decide. #DYOR For VIP/ Premium Group messagehere. @Cryptboy37,14991,https://t.me/s/thebitcoin537,https://cdn4.telegram-cdn.org/file/FQ4SS3DnCluR-in9tlbZjwYbYVnZGN8Z7Mx1wFLAsEDk5-kevBrRB2CNRtqo4WOeF0vssOimgHXzNqLdIKrDgPCCGm7NgAQSnNsxPubWgOgEhfIevGASVRtFZ6XCcjbgKugdHb8zRDydjhyPYBvjnbbTRGjSpjIgRNYLicxDRoXQ1T7BgRpAlrqPV1okOCjdEc2LXZ3m7p5e00-XQJjTIOcKik4xsesEzRDcPvpWKbJfhcjT_s415yW1dnmgtpu9Ft-D3Bfh9nTroMGdCo3vZn4PAT8UbFBB3zUp-Y1n0OeyXUXymJpEeucnFgWw3hS-0vk3ntbmB0aPMAk6A3hgpA.jpg
Rubic Announcements,Rubic: A 'one-click' Cross-Chain Protocol Website: https://rubic.exchangeRubic Chat: https://t.me/cryptorubic_chat,14185,https://t.me/s/cryptorubic,https://cdn4.telegram-cdn.org/file/afBc2oe1Fkad8tvLCpjNDwqbkCeJnu-KqmfA5YI0HQrAfVVyNU6OCQf5kv3MoRCgmhEkrrl3bkAs_z0Fghlg_2VrIcID4NUSmsOTtK7uyIBnuYx5ZF-LYJcGaR1Q6DqIC-mrHG0jBe9W511VqVif-NHrNZebAFYgX_l0EI1dBRqT88NdTnryXY0oa8A-WMW4Z_qgATYaUAsw1jRup2y2ZMUWFLd73n-pzYQoKCPTyw-WRv92RO-U3fwkObZ3Sc6cGdB0fIN4jPzb4SmT9knfjQ5EPF4bGu5wJojWY_OUEREyirag9sxa3lZfJ9Zwj7cW78BNHAcedOeEmJ9ktWD0hQ.jpg
Airdrop & Retroactive Việt Nam,Cộng đồng săn Retroactive/Airdrop hàng đầu Việt Nam- Nhóm chat: @RetroactiveVietNam_chat- Kênh săn Gems/Trading: @GemsInfinityVietNam- Kênh Research/Trade NFT: @NFTHunterClubBusiness Contact: @Shizukon,13329,https://t.me/s/retroactivevietnam,https://cdn5.telegram-cdn.org/file/cUQicgsqXOAF9urNDec7t7x-gwg_mKcomCWhSrqkXQqnDlq67UsqFA1Ba_WFSxTZYVVbt7LZdmhjXi-r0vfSPC2MEp_8prk4CdQ6tC9LYt_-jkBGQkndWt8YM5Gu5KsYbqq6nKFtZlW3CP1Q7cbRNHG6dJbycXYkZyyYgAdVUtqg2nAAbU88kuuImTu2ncm5lsxHfBqqKjJ9jWn5_2a46tyJt0EguNSoPxsB-DCeaJnl56DJ1fQHeFknasRezw0z0VYjMpBs6I-KsuvuW4CRiVtW206XwL_hdxDs55kuvMTCHzO60RKekxv4LSwuZBOUxgnCV440ZS6UGvPly8kyrA.jpg
OKX Announcements,OKX news and idea sharing. We encourage and welcome any customer's feedback and suggestions.OKX English Official Group: t.me/OKXOfficial_English,13152,https://t.me/s/okxannouncements,https://cdn4.telegram-cdn.org/file/iXZm0jYlId6l5J_Yca0rrrL6Cc6kjVQUIm4vmJGNF_zUa5ab1b3Ye2sptehpeLwBxzZmUxr62yfG2TrMZpd3Rq8TRSOKO5HwRI3LGMY8QvmAzEYeQ-EhMuUyDxmbXlAND1W8Jr9dyeSNS-lARogiStyqnosFqJ7ix1ZJygXOh8H8r4rfrFvPBrMNYNa1fQibOuSuex_6lhRGNlHo7hM4_IJO2b7nI6OLwdDTJJd0xteiTv_AR9qONSc6FgFQzJOGQzQEsW2qw8ebkzNPDQ6RDnT0zbfQQMdHuyqsFdO3D6hJmA7XmuzMaBMPxQGPbx2cApLNOCsOjPfXaAtp8qTLpA.jpg
